German,English
Teil,part
Geschichte,history
suchen,search
nur,only
Polizei,police
Gedanke,thought
helfen,help
Anfrage,request
Art,kind
Monat,month
Bruder,brother
lassen,let
Weil,because
stellen,to put
NEIN,no
Leine,leash
ihnen,them
Stadt,city
jede,each
sprechen,speak
kommen,come
sollen,should
Baby,baby
lange Zeit,long time
Std.,hours
Wille,will
während,while
Wiedersehen,meet again
beliebig,any
Quadrat,square
sprechen,speak
verstanden,understood
wusste,knew
war,were
Warnung,Warning
hier ist,here is
könnte,could
Fall,case
geben,give
Typ,type
ihre,their
gegeben,given
Zug,train
Körper,body
Ort,place
Augen,eyes
Weg,way
Hören,listen
wessen,whose
finden,find
Erste,first
verloren,lost
Hand,hand
Erste,first
Seite,side
Leistung,power
alt,old
Sei,be
Hier,here
Morgen,morning
so viel,so much
Kind,child
Punkt,point
kam,came
nach,after
Entschuldigung,sorry
kommen,come
vor,in front of
in Richtung,towards
Protokoll,minutes
Anfrage,request
Schlafzimmer,bedroom
platziert,placed
Schön,beautiful
Gesetz,law
würde gerne,would like to
Heute,today
Ehemann,husband
Ursache,cause
Endlich,finally
Hoffnung,hope
Wasser,water
Warten,Wait
links,left
neu,new
Arbeit,job
Stoppen,Stop
würde sagen,would say
Erde,Earth
Konto,account
gegeben,given
weit,far
Ende,end
glauben,believe
Schatz,sweetheart
groß,large
eher,rather
werde haben,will have
Mädchen,girls
spielen,to play
Büro,office